Date;Price;Open;High;Low
12/03/2020;1.1186;1.1260;1.1333;1.1056
11/03/2020;1.1262;1.1314;1.1366;1.1251
10/03/2020;1.1280;1.1446;1.1459;1.1274
09/03/2020;1.1449;1.1293;1.1494;1.1284
06/03/2020;1.1286;1.1237;1.1355;1.1211
05/03/2020;1.1241;1.1136;1.1246;1.1120
04/03/2020;1.1136;1.1172;1.1188;1.1095
03/03/2020;1.1173;1.1133;1.1214;1.1095
02/03/2020;1.1134;1.1003;1.1187;1.1003
28/02/2020;1.1026;1.1000;1.1055;1.0951
27/02/2020;1.1000;1.0882;1.1007;1.0879
26/02/2020;1.0881;1.0881;1.0910;1.0855
25/02/2020;1.0881;1.0854;1.0892;1.0830
24/02/2020;1.0854;1.0841;1.0873;1.0805
21/02/2020;1.0845;1.0785;1.0865;1.0784
20/02/2020;1.0785;1.0806;1.0822;1.0777
19/02/2020;1.0806;1.0792;1.0813;1.0782
18/02/2020;1.0792;1.0837;1.0838;1.0785
17/02/2020;1.0836;1.0832;1.0852;1.0821
14/02/2020;1.0832;1.0841;1.0863;1.0828
13/02/2020;1.0841;1.0874;1.0890;1.0834
12/02/2020;1.0873;1.0916;1.0927;1.0865
11/02/2020;1.0916;1.0912;1.0926;1.0891
10/02/2020;1.0911;1.0951;1.0959;1.0908
07/02/2020;1.0945;1.0983;1.0987;1.0942
06/02/2020;1.0980;1.0999;1.1014;1.0963
05/02/2020;1.0999;1.1046;1.1049;1.0994
04/02/2020;1.1044;1.1060;1.1066;1.1033
03/02/2020;1.1060;1.1093;1.1097;1.1036
31/01/2020;1.1094;1.1032;1.1097;1.1016
30/01/2020;1.1032;1.1010;1.1040;1.1006
29/01/2020;1.1011;1.1023;1.1029;1.0992
28/01/2020;1.1022;1.1020;1.1027;1.0998
27/01/2020;1.1018;1.1021;1.1039;1.1010
24/01/2020;1.1025;1.1055;1.1063;1.1020
23/01/2020;1.1054;1.1093;1.1110;1.1037
22/01/2020;1.1093;1.1084;1.1100;1.1070
21/01/2020;1.1084;1.1096;1.1120;1.1081
20/01/2020;1.1095;1.1091;1.1103;1.1076
17/01/2020;1.1090;1.1137;1.1144;1.1086
16/01/2020;1.1137;1.1151;1.1174;1.1128
15/01/2020;1.1151;1.1130;1.1165;1.1119
14/01/2020;1.1128;1.1135;1.1145;1.1103
13/01/2020;1.1135;1.1125;1.1148;1.1113
10/01/2020;1.1122;1.1106;1.1131;1.1085
09/01/2020;1.1106;1.1105;1.1121;1.1092
08/01/2020;1.1105;1.1154;1.1170;1.1102
07/01/2020;1.1153;1.1198;1.1199;1.1133
06/01/2020;1.1195;1.1168;1.1208;1.1155
03/01/2020;1.1160;1.1172;1.1182;1.1125
02/01/2020;1.1172;1.1212;1.1227;1.1164
01/01/2020;1.1212;1.1214;1.1224;1.1206
31/12/2019;1.1212;1.1198;1.1241;1.1198
30/12/2019;1.1199;1.1175;1.1224;1.1171
27/12/2019;1.1177;1.1097;1.1188;1.1096
26/12/2019;1.1098;1.1092;1.1111;1.1082
25/12/2019;1.1091;1.1088;1.1106;1.1072
24/12/2019;1.1088;1.1089;1.1095;1.1069
23/12/2019;1.1088;1.1081;1.1097;1.1070
20/12/2019;1.1079;1.1121;1.1126;1.1065
19/12/2019;1.1122;1.1113;1.1146;1.1108
18/12/2019;1.1113;1.1150;1.1156;1.1111
17/12/2019;1.1150;1.1142;1.1176;1.1128
16/12/2019;1.1144;1.1123;1.1160;1.1123
13/12/2019;1.1121;1.1130;1.1201;1.1112
12/12/2019;1.1130;1.1130;1.1156;1.1103
11/12/2019;1.1130;1.1092;1.1146;1.1070
10/12/2019;1.1093;1.1064;1.1098;1.1062
09/12/2019;1.1064;1.1056;1.1080;1.1052
06/12/2019;1.1059;1.1106;1.1111;1.1040
05/12/2019;1.1104;1.1079;1.1110;1.1078
04/12/2019;1.1078;1.1082;1.1117;1.1067
03/12/2019;1.1083;1.1079;1.1095;1.1066
02/12/2019;1.1079;1.1014;1.1091;1.1003
29/11/2019;1.1017;1.1009;1.1030;1.0981
28/11/2019;1.1009;1.0999;1.1020;1.0999
27/11/2019;1.0999;1.1019;1.1025;1.0991
26/11/2019;1.1020;1.1014;1.1027;1.1007
25/11/2019;1.1014;1.1024;1.1033;1.1003
22/11/2019;1.1024;1.1059;1.1087;1.1015
21/11/2019;1.1059;1.1074;1.1098;1.1052
20/11/2019;1.1073;1.1078;1.1082;1.1052
19/11/2019;1.1079;1.1071;1.1084;1.1062
18/11/2019;1.1072;1.1052;1.1092;1.1048
15/11/2019;1.1052;1.1022;1.1059;1.1015
14/11/2019;1.1023;1.1006;1.1029;1.0989
13/11/2019;1.1007;1.1010;1.1021;1.0994
12/11/2019;1.1009;1.1033;1.1040;1.1003
11/11/2019;1.1033;1.1022;1.1044;1.1016
08/11/2019;1.1018;1.1050;1.1057;1.1017
07/11/2019;1.1050;1.1065;1.1092;1.1035
06/11/2019;1.1067;1.1075;1.1095;1.1065
05/11/2019;1.1075;1.1126;1.1140;1.1062
04/11/2019;1.1128;1.1167;1.1177;1.1125
01/11/2019;1.1167;1.1152;1.1173;1.1128
31/10/2019;1.1152;1.1151;1.1176;1.1131
30/10/2019;1.1150;1.1112;1.1153;1.1080
29/10/2019;1.1112;1.1099;1.1120;1.1074
28/10/2019;1.1100;1.1082;1.1109;1.1076
25/10/2019;1.1080;1.1105;1.1124;1.1073
24/10/2019;1.1104;1.1130;1.1162;1.1092
23/10/2019;1.1131;1.1124;1.1140;1.1105
22/10/2019;1.1125;1.1149;1.1158;1.1117
21/10/2019;1.1149;1.1142;1.1180;1.1136
18/10/2019;1.1171;1.1126;1.1174;1.1115
17/10/2019;1.1124;1.1073;1.1141;1.1065
16/10/2019;1.1072;1.1033;1.1087;1.1022
15/10/2019;1.1033;1.1029;1.1047;1.0991
14/10/2019;1.1029;1.1043;1.1049;1.1012
11/10/2019;1.1042;1.1006;1.1064;1.1001
10/10/2019;1.1006;1.0972;1.1036;1.0971
09/10/2019;1.0971;1.0957;1.0991;1.0952
08/10/2019;1.0956;1.0971;1.0997;1.0941
07/10/2019;1.0971;1.0975;1.1001;1.0961
04/10/2019;1.0978;1.0964;1.0999;1.0957
03/10/2019;1.0966;1.0959;1.1001;1.0941
02/10/2019;1.0959;1.0932;1.0964;1.0903
01/10/2019;1.0932;1.0901;1.0944;1.0879
30/09/2019;1.0900;1.0940;1.0949;1.0885
27/09/2019;1.0939;1.0920;1.0959;1.0904
26/09/2019;1.0922;1.0942;1.0968;1.0908
25/09/2019;1.0943;1.1020;1.1025;1.0938
24/09/2019;1.1020;1.0994;1.1026;1.0984
23/09/2019;1.0993;1.1016;1.1027;1.0966
20/09/2019;1.1018;1.1041;1.1069;1.0995
19/09/2019;1.1041;1.1029;1.1074;1.1022
18/09/2019;1.1030;1.1072;1.1076;1.1013
17/09/2019;1.1073;1.1000;1.1076;1.0990
16/09/2019;1.1002;1.1087;1.1093;1.0994
13/09/2019;1.1075;1.1064;1.1111;1.1055
12/09/2019;1.1063;1.1011;1.1088;1.0927
11/09/2019;1.1010;1.1043;1.1056;1.0984
10/09/2019;1.1043;1.1045;1.1059;1.1030
09/09/2019;1.1048;1.1024;1.1069;1.1016
06/09/2019;1.1029;1.1035;1.1058;1.1020
05/09/2019;1.1035;1.1037;1.1086;1.1017
04/09/2019;1.1035;1.0974;1.1038;1.0969
03/09/2019;1.0974;1.0970;1.0980;1.0926
02/09/2019;1.0968;1.0990;1.1000;1.0958
30/08/2019;1.0991;1.1058;1.1062;1.0963
29/08/2019;1.1057;1.1078;1.1093;1.1042
28/08/2019;1.1078;1.1090;1.1099;1.1072
27/08/2019;1.1091;1.1101;1.1116;1.1084
26/08/2019;1.1102;1.1147;1.1166;1.1094
23/08/2019;1.1144;1.1079;1.1154;1.1051
22/08/2019;1.1079;1.1084;1.1114;1.1063
